index,date,Open,High,Low,Close,Volume
1175,2024-01-04,74.9,74.9,72.5,73.84,497631.0
1176,2024-01-05,73.6,75.4,72.53,74.75,977397.0
1177,2024-01-08,74.98,74.98,70.95,71.75,889978.0
1178,2024-01-09,71.8,72.74,71.0,72.14,163323.0
1179,2024-01-10,73.95,73.95,71.61,72.0,196579.0
1180,2024-01-11,71.61,74.0,71.52,72.52,258622.0
1181,2024-01-12,73.63,73.73,72.02,72.39,182375.0
1182,2024-01-15,72.12,72.5,71.52,71.76,201760.0
1183,2024-01-16,71.97,71.98,70.95,71.52,246311.0
1184,2024-01-17,70.52,71.9,70.51,70.98,156819.0
1185,2024-01-18,70.5,71.0,69.07,70.71,66428.0
1186,2024-01-19,71.15,71.99,70.9,71.62,115760.0
1187,2024-01-22,71.9,72.2,71.25,71.63,120780.0
1188,2024-01-23,72.5,72.51,70.19,72.1,312990.0
1189,2024-01-24,72.0,72.0,71.11,71.22,134449.0
1190,2024-01-25,71.8,72.25,71.11,71.78,236783.0
1191,2024-01-26,71.9,72.39,71.11,71.84,70544.0
